document_id,chunk_id,page,text
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:105,106,65/ 96 Chuyển đổi địa chỉ: Sơ đồ truy nhập Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.4 Chiến lược phân trang
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:104,105,"Thực hiện chương trình →Truy nhập bộ nhớ Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.4 Chiến lược phân trang l Nạp chương trình l Xây dựng bảng quản lý trang và luôn giữ trong bộ nhớ l PTBR (Page-table base register) trỏ tới PCB. l PTLR(Page-table length register) kích thước PCB. l Thực hiện truy nhập l Địa chỉ truy nhập được chia thành dạng <p, d> l PTBR + p ∗K : Địa chỉ phần tử p của PCB trong bộ nhớ l K Kích thước 1 phần tử của PCB l Kiểm tra Mp l Mp = 0 : Lỗi trang, sinh một ngắt để tiến hành nạp trang l Xin trang vật lý tự do (Hết trang tự do?) l Tìm kiếm trang logic ở bộ nhớ ngoài và nạp trang l Sửa lại trường địa chỉ A và dấu hiệu M l Mp = 1 : Trang đã tồn tại, l Lấy Ap ghép với d ra địa chỉ cần tìm"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:12,13,"l Bộ nhớ là tài nguyên quan trọng của hệ thống l Chương trình phải nằm trong bộ nhớ trong để thực hiện l Bộ nhớ được đặc trưng bởi kích thước và tốc độ truy nhập l Bộ nhớ được phân cấp theo tốc độ truy nhập Loại bộ nhớ Kích thước Tốc độ Thanh ghi (Registers) Cache trên VXL Cache mức 2 Bộnhớ chính Bộ nhớ lưu trữ (Disk) Băng từ, đĩa quang bytes Kilo Bytes KiloByte-MegaByte MegaByte-GigaByte GigaByte-Terabytes Không giới hạn Tốc độ CPU(ηs) 10 nano seconds 100 nanoseconds e Micro-seconds Mili-Seconds 10 Seconds Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.2 Bộ nhớ và chương trình Phân cấp bộ nhớ"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:26,27,"M0 M1 M2 M3 Hệ điều hành M0 l Mỗi modul được biên tập riêng l Khi thực hiện, hệ thống sẽ định vị modul gốc Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:123,124,"Nạp từng phần của trang chương trình vào bộ nhớ Chương 3: Quản lý bộ nhớ 3. Bộ nhớ ảo 3.1 Giới thiệu l Trang của tiến trình: l bộ nhớ vật lý, l một số trang nằm trên đĩa(bộ nhớ ảo) l Biểu diễn nhờ sử dụng một bit trong bảng quản lý trang l Khi yêu cầu trang, đưa trang từ bộ nhớ thứ cấp -> bộ nhớ vật lý"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:66,67,l Có thể kết hợp 2 vùng kề nhau có cùng kích thước l Tiếp tục kết hợp liên tiếp cho tới khi tạo ra vùng trống lớn nhất có thể Ví dụ l Giải phóng vùng nhớ thứ nhất (1K) l Kết hợp 2 vùng 1K thành vùng 2K l Giải phóng vùng nhớ thứ hai (2K) Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.2 Chiến lược phân chương động Buddy Allocation : Thu hồi vùng nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:64,65,l Có thể kết hợp 2 vùng kề nhau có cùng kích thước l Tiếp tục kết hợp liên tiếp cho tới khi tạo ra vùng trống lớn nhất có thể Ví dụ l Giải phóng vùng nhớ thứ nhất (1K) Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.2 Chiến lược phân chương động Buddy Allocation : Thu hồi vùng nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:115,116,lChiến lược phân chương cố định lChiến lược phân chương động lChiến lược phân đoạn lChiến lược phân trang lChiến lược kết hợp phân đoạn-phân trang Chương 3 Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:133,134,①Tổng quan ②Các chiến lược quản lý bộ nhớ ③Bộ nhớ ảo ④Quản lý bộ nhớ trong VXL họ Intel Chương 3 Quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:85,86,"subroutine Đoạn 2 array Đoạn 3 main program Đoạn 0 data Đoạn 4 stack Đoạn 1 Ví dụ Không gian địa chỉ logic Bộ nhớ HĐH Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.3 Chiến lược phân đoạn M A L 1 1400 1000 1 6300 400 0 - 400 1 3200 1100 1 4700 1000 SCB Đoạn 0 Đoạn 3 Đoạn 4 Đoạn 1 1400 2400 3200 4300 4700 5700 6300 6700 Địa chỉ <4,185> = ?4885"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:84,85,"subroutine Đoạn 2 array Đoạn 3 main program Đoạn 0 data Đoạn 4 stack Đoạn 1 Ví dụ Không gian địa chỉ logic Bộ nhớ HĐH Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.3 Chiến lược phân đoạn M A L 1 1400 1000 1 6300 400 0 - 400 1 3200 1100 1 4700 1000 SCB Đoạn 0 Đoạn 3 Đoạn 4 Đoạn 1 1400 2400 3200 4300 4700 5700 6300 6700 Địa chỉ <3,345> = ? Đoạn 3 bắt đầu tại 3200 P/tử 345 Offset 345 3545"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:45,46,lChiến lược phân chương cố định lChiến lược phân chương động lChiến lược phân đoạn lChiến lược phân trang lChiến lược kết hợp phân đoạn-phân trang Chương 3 Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:69,70,l Có thể kết hợp 2 vùng kề nhau có cùng kích thước l Tiếp tục kết hợp liên tiếp cho tới khi tạo ra vùng trống lớn nhất có thể Ví dụ l Giải phóng vùng nhớ thứ nhất (1K) l Kết hợp 2 vùng 1K thành vùng 2K l Giải phóng vùng nhớ thứ hai (2K) l Kết hợp 2 vùng 2K thành vùng 4K l Giải phóng vùng nhớ thứ ba (2K) l Kết hợp 2 vùng 2K thành vùng 4K Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.2 Chiến lược phân chương động Buddy Allocation : Thu hồi vùng nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:67,68,l Có thể kết hợp 2 vùng kề nhau có cùng kích thước l Tiếp tục kết hợp liên tiếp cho tới khi tạo ra vùng trống lớn nhất có thể Ví dụ l Giải phóng vùng nhớ thứ nhất (1K) l Kết hợp 2 vùng 1K thành vùng 2K l Giải phóng vùng nhớ thứ hai (2K) l Kết hợp 2 vùng 2K thành vùng 4K Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.2 Chiến lược phân chương động Buddy Allocation : Thu hồi vùng nhớ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:31,32,Ưu điểm l Có thể sử dụng vùng nhớ nhiều hơn phần dành cho chương trình l Hiệu quả sử dụng bộ nhớ cao nếu quản lý tốt Nhược điểm l Tốc độ thực hiện chậm l Sai lầm sẽ dẫn tới lãng phí bộ nhớ và tăng thời gian thực hiện l Yêu cầu người sử dụng phải nạp và xóa các modul l Người dùng phải nắm rõ hệ thống l Giảm tính lưu động 29/ 96 Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:42,43,"l Cho phép dùng chương trình có kích thước lớn hơn kích thước hệ điều hành dành cho l Yêu cầu người sử dụng cung cấp các thông tin phụ l Hiệu quả sử dụng phụ thuộc vào các thông tin được cung cấp l Hiệu quả sử dụng bộ nhớ phụ thuộc cách tổ chức các modul trong chương trình l Nếu tồn tại một modul có kích thước lớn hơn các modul khác cùng mức rất nhiều ⇒Hiệu quả giảm rõ rệt l Quá trình nạp các modul là động, nhưng chương trình có tính chất tĩnh ⇒Không thay đổi trong các lần thực hiện l Cung cấp thêm bộ nhớ tự do, hiệu quả vẫn không đổi Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc Overlays:Nhận xét"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:27,28,"M0 M1 M2 M3 Hệ điều hành M0 M1 l Mỗi modul được biên tập riêng l Khi thực hiện, hệ thống sẽ định vị modul gốc l Cần tới modul nào sẽ xin bộ nhớ và giải nạp modul vào Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:19,20,Xác định địa chỉ câu lệnh và dữ liệu trong bộ nhớ có thể thực hiện tại các giai đoạn khác nhau khi xử lý chương trình ứng dụng l Giai đoạn dịch: l Sử dụng khi biết chương trình sẽ nằm ở đâu trong bộ nhớ l Khi dịch sẽ sinh ra mã (địa chỉ) tuyệt đối l Phải dịch lại khi vị trí bắt đầu thay đổi l Thời điểm nạp: l Sử dụng khi không biết c/trình sẽ nằm ở đâu trong bộ nhớ l Các đối tượng được dịch ra sẽ mang địa chỉ tương đối l Xác định địa chỉ được hoãn lại tới khi khi nạp chương trình vào bộ nhớ l Trong khi thực hiện: l S/dụng khi các tiến trình có thể thay đổi vị trí trong khi t/hiện l Xác định địa chỉ được hoãn lại tới khi thực thi chương trình l Thường đòi hỏi trợ giúp từ phần cứng l Được sử dụng trong nhiều hệ điều hành Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.3 Liên kết địa chỉ Xác định địa chỉ
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:132,133,"Thuật toán dựa trên bộ đếm Chương 3: Quản lý bộ nhớ 3. Bộ nhớ ảo 3.2 Các chiến lược đổi trang Sử dụng bộ đếm (một trường của PCB) ghi nhận số lần truy nhập tới trang l LFU: Trang có bộ đếm nhỏ nhất bị thay thế l Trang truy nhập nhiều đến l Trang quan trọng ⇒hợp lý l Trang khởi tạo, chỉ được dùng ở giai đoạn đầu ⇒ không hợp lý ⇒Dịch bộ đếm một bit (chia đôi) theo thời gian l MFU: Trang có bộ đếm lớn nhất l Trang có bộ đếm nhỏ nhất, vừa mới được nạp vào và vẫn chưa được sử dụng nhiều"
1e8e6c622bfb571b0b783d8347182318,1e8e6c622bfb571b0b783d8347182318:56,57,Nguyên tắc: Chia đôi liên tiếp vùng trống tự do cho tới khi thu được vùng trống nhỏ nhất thỏa mãn Cung cấp cho yêu cầu n bytes l Chia vùng trống tìm được thành 2 khối bằng nhau (gọi là buddies) l Tiếp tục chia vùng trống phía trên thành 2 phần cho tới khi đạt vùng trống nhỏ nhất kích thước lớn hơn n Ví dụ l Vùng trống 16K Bytes l Yêu cầu 735 Bytes Chương 3: Quản lý bộ nhớ 2. Các chiến lược quản lý bộ nhớ 2.2 Chiến lược phân chương động Buddy Allocation: Cung cấp nhớ
2d1f518956cdc4b3cf6a9447714cfcd0,2d1f518956cdc4b3cf6a9447714cfcd0:138,139,83 / 107 Chương 4: Quản lý hệ thống file 4. Hệ thống FAT 4.1 Boot sector Giải mã bảng tham số của đĩa dùng NTFS
2d1f518956cdc4b3cf6a9447714cfcd0,2d1f518956cdc4b3cf6a9447714cfcd0:16,17,"Thư mục file hello.c vi trí Buf =Read(SoNT.dat) SoNT.dat vi trí 19/04/2011 Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Các thao tác cơ bản : Đọc file l Lời gọi hệ thống Read() yêu cầu tên file và vùng đệm ghi KQ l Dùng tên file, tìm kiếm file trong thư mục file l Dựa vào trường vị trí, tìm vị trí của file trên thiết bị lưu trữ l Hệ thống lưu con trỏ đọc (read pointer) chỉ ra vị trí được đọc l Con trỏ đọc thay đổi sau mỗi thao tác đọc dữ liệu Không gian lưu trữ Kiemtra.pdf 235 17 rp 19 23 29 Buf:29 l Dùng một con trỏ cho cả thao tác đọc và ghi: con trỏ file hello.c"
2d1f518956cdc4b3cf6a9447714cfcd0,2d1f518956cdc4b3cf6a9447714cfcd0:155,156,"DATA #2 #3 #4 #5 #6 #7 #8 #9 Chương 4: Quản lý hệ thống file 4. Hệ thống FAT 4.2 Bảng FAT Phương pháp FAT gồm nhiều phần tử l Mỗi phần tử có thể 12bit, 16bit, 32bit l Mỗi phần tử ứng với 1 khối (cluster) trên vùng dữ liệu l 2 phần tử đầu (0,1) có ý nghĩa đặc biệt l Khuôn dạng đĩa, Bit shutdown, Bit diskerrror l Phần tử thứ 2 ứng với cluster đầu của phần Data"
2d1f518956cdc4b3cf6a9447714cfcd0,2d1f518956cdc4b3cf6a9447714cfcd0:96,97,64 / 107 Chương 4: Quản lý hệ thống file 3. Tổ chức thông tin trên đĩa từ 3.2.Cấu trúc logic của đĩa Ví dụ về bảng phân chương mở rộng 1
2d1f518956cdc4b3cf6a9447714cfcd0,2d1f518956cdc4b3cf6a9447714cfcd0:68,69,"Chương 4: Quản lý hệ thống file 3. Tổ chức thông tin trên đĩa từ 3.1 Cấu trúc vật lý của đĩa Định vị thông tin trên đĩa mềm l Sector đơn vị thông tin hệ thống dùng làm việc với đĩa l Sector xác định qua tọa độ 3 chiều: Header, Track, Sector l Ví dụ: Boot Sector của đĩa mềm: Sector <0, 0, 1> l Sector được xác định qua số hiệu sector (tọa độ 1 chiều) l Vị trí tương đối so với sector đầu tiên của đĩa Sector < 0, 0, 3 >→#2"
2d1f518956cdc4b3cf6a9447714cfcd0,2d1f518956cdc4b3cf6a9447714cfcd0:153,154,Chương 4: Quản lý hệ thống file 4. Hệ thống FAT l Boot sector l Bảng FAT (File Allocation Table) l Thư mục gốc
