question_id,document_id,question_text,gold_answer,gold_support_chunk_ids,page_hint
q0001,1e8e6c622bfb571b0b783d8347182318,"Trong chiến lược phân trang, PTBR (Page-table base register) có chức năng gì?",PTBR (Page-table base register) là một thanh ghi trỏ tới bảng quản lý trang (PCB)[cite: 1].,1e8e6c622bfb571b0b783d8347182318:105|1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:133,1
q0002,1e8e6c622bfb571b0b783d8347182318,Điều gì xảy ra khi giá trị của bit Mp (Memory present) bằng 0 trong quá trình truy nhập bộ nhớ?,"Khi Mp = 0, điều đó cho biết trang không có trong bộ nhớ, dẫn đến lỗi trang (page fault) và sinh ra một ngắt để hệ điều hành tiến hành nạp trang từ bộ nhớ ngoài vào[cite: 2].",1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:27,2
q0003,1e8e6c622bfb571b0b783d8347182318,Bộ nhớ được phân cấp dựa trên tiêu chí nào?,"Bộ nhớ được phân cấp dựa trên tốc độ truy nhập, từ nhanh nhất là các thanh ghi (registers) đến chậm nhất là băng từ hoặc đĩa quang[cite: 3].",1e8e6c622bfb571b0b783d8347182318:105|1e8e6c622bfb571b0b783d8347182318:12|1e8e6c622bfb571b0b783d8347182318:132,3
q0004,1e8e6c622bfb571b0b783d8347182318,Cấu trúc nạp động (dynamic loading) hoạt động như thế nào?,"Trong cấu trúc nạp động, mỗi modul được biên tập riêng. Khi thực thi, hệ thống sẽ định vị modul gốc, và chỉ khi cần đến modul nào thì hệ thống mới xin cấp phát bộ nhớ và nạp modul đó vào[cite: 15].",1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:27|1e8e6c622bfb571b0b783d8347182318:105,15
q0005,1e8e6c622bfb571b0b783d8347182318,Bộ nhớ ảo là gì và nó hoạt động như thế nào?,"Bộ nhớ ảo là một kỹ thuật cho phép nạp từng phần của chương trình vào bộ nhớ, trong đó một số trang của tiến trình có thể nằm trên đĩa (bộ nhớ thứ cấp). Khi một trang được yêu cầu, nó sẽ được đưa từ bộ nhớ thứ cấp vào bộ nhớ vật lý[cite: 5].",1e8e6c622bfb571b0b783d8347182318:123|1e8e6c622bfb571b0b783d8347182318:42|1e8e6c622bfb571b0b783d8347182318:133,5
q0006,1e8e6c622bfb571b0b783d8347182318,"Trong chiến lược cấp phát bộ nhớ Buddy Allocation, nguyên tắc thu hồi vùng nhớ là gì?","Khi một vùng nhớ được giải phóng, hệ thống sẽ kiểm tra xem có thể kết hợp nó với vùng nhớ kề bên (buddy) có cùng kích thước để tạo ra một vùng trống lớn hơn hay không, và quá trình này được lặp lại liên tiếp[cite: 6].",1e8e6c622bfb571b0b783d8347182318:64|1e8e6c622bfb571b0b783d8347182318:66|1e8e6c622bfb571b0b783d8347182318:67,6
q0007,1e8e6c622bfb571b0b783d8347182318,Kể tên các chiến lược quản lý bộ nhớ được đề cập.,"Các chiến lược quản lý bộ nhớ bao gồm: chiến lược phân chương cố định, phân chương động, phân đoạn, phân trang, và chiến lược kết hợp phân đoạn-phân trang[cite: 7].",1e8e6c622bfb571b0b783d8347182318:45|1e8e6c622bfb571b0b783d8347182318:115|1e8e6c622bfb571b0b783d8347182318:105,7
q0008,1e8e6c622bfb571b0b783d8347182318,"Trong chiến lược phân đoạn, làm thế nào để tính địa chỉ vật lý từ địa chỉ logic có dạng <đoạn, offset>?","Để tính địa chỉ vật lý, hệ thống sẽ lấy địa chỉ bắt đầu của đoạn trong bộ nhớ và cộng với giá trị offset. Ví dụ, địa chỉ <3, 345> được tính bằng cách lấy địa chỉ bắt đầu của Đoạn 3 là 3200 cộng với offset 345 để ra địa chỉ 3545[cite: 10].",1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:84|1e8e6c622bfb571b0b783d8347182318:105,10
q0009,1e8e6c622bfb571b0b783d8347182318,Nhược điểm của cấu trúc nạp động là gì?,"Nhược điểm của cấu trúc nạp động bao gồm tốc độ thực hiện chậm, yêu cầu người dùng phải tự quản lý việc nạp và xóa các modul, và giảm tính lưu động của chương trình[cite: 13].",1e8e6c622bfb571b0b783d8347182318:12,13
q0010,1e8e6c622bfb571b0b783d8347182318,Việc xác định địa chỉ trong chương trình có thể được thực hiện ở những giai đoạn nào?,"Việc xác định địa chỉ có thể được thực hiện tại ba giai đoạn: giai đoạn dịch (compile time), thời điểm nạp (load time), hoặc trong khi thực hiện (execution time)[cite: 16].",1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:133,16
q0011,2d1f518956cdc4b3cf6a9447714cfcd0,Lời gọi hệ thống `Read()` yêu cầu những gì để thực hiện thao tác đọc file?,"Lời gọi hệ thống `Read()` yêu cầu tên file và một vùng đệm (buffer) để ghi kết quả đọc được vào[cite: 20, 24].",2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:9,20|24
