question_id,question_text,generated_answer,citations,gemini_rating,gemini_raw
q0001,"Trong chiến lược phân trang, PTBR (Page-table base register) có chức năng gì?",PTBR (Page-table base register) trỏ tới PCB (Page Control Block/Page Table).,,5,5
q0002,Điều gì xảy ra khi giá trị của bit Mp (Memory present) bằng 0 trong quá trình truy nhập bộ nhớ?,"Khi Mp = 0, xảy ra lỗi trang (page fault), hệ thống sinh một ngắt để tiến hành nạp trang. Sau đó, nó xin trang vật lý tự do, tìm kiếm trang logic ở bộ nhớ ngoài và nạp trang, rồi sửa lại trường địa chỉ A và dấu hiệu M.",,5,5
q0003,Bộ nhớ được phân cấp dựa trên tiêu chí nào?,Bộ nhớ được phân cấp dựa trên tốc độ truy nhập,,3,3
q0004,Cấu trúc nạp động (dynamic loading) hoạt động như thế nào?,"Trong cấu trúc nạp động, mỗi modul được biên tập riêng. Khi thực hiện, hệ thống sẽ định vị modul gốc. Các modul khác chỉ được nạp vào bộ nhớ khi cần tới, bằng cách xin cấp phát bộ nhớ.",,5,5
q0005,Bộ nhớ ảo là gì và nó hoạt động như thế nào?,Bộ nhớ ảo là việc sử dụng bộ nhớ thứ cấp (như đĩa cứng),,2,2
q0006,"Trong chiến lược cấp phát bộ nhớ Buddy Allocation, nguyên tắc thu hồi vùng nhớ là gì?","Trong chiến lược cấp phát bộ nhớ Buddy Allocation, nguyên tắc thu hồi vùng nhớ là có thể kết hợp hai vùng kề nhau có cùng kích thước và tiếp tục kết hợp liên tiếp cho tới khi tạo ra vùng trống lớn nhất có thể. [1e8e6c622bfb571b0b783d8347182318 tr.67]",,5,5
q0007,Kể tên các chiến lược quản lý bộ nhớ được đề cập.,"Các chiến lược quản lý bộ nhớ được đề cập là:
*   Chiến lược phân đoạn
*   Chiến lược phân trang
*   Chiến lược kết hợp phân đoạn-phân trang",,3,3
q0008,"Trong chiến lược phân đoạn, làm thế nào để tính địa chỉ vật lý từ địa chỉ logic có dạng <đoạn, offset>?","Trong chiến lược phân đoạn, địa chỉ vật lý được tính bằng cách cộng độ lệch (d) với địa chỉ cơ sở của đoạn (As). Công thức là: `offset + As`.",,4,4
q0009,Nhược điểm của cấu trúc nạp động là gì?,"Nhược điểm của cấu trúc nạp động là:
*   Tốc độ thực hiện chậm
*   Sai lầm sẽ dẫn tới lãng phí bộ nhớ và tăng thời gian thực hiện
*   Yêu cầu người sử dụng phải nạp và xóa các modul
*   Người dùng phải nắm rõ hệ thống
*   Giảm tính lưu động",,5,5
q0010,Việc xác định địa chỉ trong chương trình có thể được thực hiện ở những giai đoạn nào?,"Việc xác định địa chỉ trong chương trình có thể được thực hiện ở các giai đoạn: Giai đoạn dịch, Thời điểm nạp, và Trong khi thực hiện.",,4,4
q0021,Phân biệt giữa tiến trình (process) và chương trình (program).,Tôi không tìm thấy thông tin trong tài liệu.,,1,1
