question_id,question_text,old_gold,new_gold,top_score,overlap
q0001,"Trong chiến lược phân trang, PTBR (Page-table base register) có chức năng gì?",1e8e6c622bfb571b0b783d8347182318:105|1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:133,1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:90|1e8e6c622bfb571b0b783d8347182318:114,6.345148,1
q0002,Điều gì xảy ra khi giá trị của bit Mp (Memory present) bằng 0 trong quá trình tr,1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:105,1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:47|1e8e6c622bfb571b0b783d8347182318:104,1.9670099,1
q0005,Bộ nhớ ảo là gì và nó hoạt động như thế nào?,1e8e6c622bfb571b0b783d8347182318:123|1e8e6c622bfb571b0b783d8347182318:133|1e8e6c622bfb571b0b783d8347182318:42,1e8e6c622bfb571b0b783d8347182318:122|1e8e6c622bfb571b0b783d8347182318:121|1e8e6c622bfb571b0b783d8347182318:123,6.2419915,1
q0010,Việc xác định địa chỉ trong chương trình có thể được thực hiện ở những giai đoạn,1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:26|1e8e6c622bfb571b0b783d8347182318:133,1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:32|1e8e6c622bfb571b0b783d8347182318:20,7.195526,1
q0011,Lời gọi hệ thống `Read()` yêu cầu những gì để thực hiện thao tác đọc file?,2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:192,2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14|2d1f518956cdc4b3cf6a9447714cfcd0:15,5.5600014,1
q0012,Con trỏ đọc (read pointer) có vai trò gì?,2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:16,2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14,3.8955097,1
q0013,Làm thế nào để thu gọn một file mà vẫn giữ nguyên các thuộc tính của nó?,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:192|2d1f518956cdc4b3cf6a9447714cfcd0:184,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:4|2d1f518956cdc4b3cf6a9447714cfcd0:5,3.716854,1
q0015,Cấu trúc vật lý của một đĩa cứng bao gồm những thành phần chính nào?,2d1f518956cdc4b3cf6a9447714cfcd0:82|2d1f518956cdc4b3cf6a9447714cfcd0:96|2d1f518956cdc4b3cf6a9447714cfcd0:113,2d1f518956cdc4b3cf6a9447714cfcd0:82|2d1f518956cdc4b3cf6a9447714cfcd0:90|2d1f518956cdc4b3cf6a9447714cfcd0:84,6.0208607,1
q0017,"Trong việc định vị thông tin trên đĩa mềm, tọa độ 3 chiều được chuyển đổi sang t",2d1f518956cdc4b3cf6a9447714cfcd0:68|2d1f518956cdc4b3cf6a9447714cfcd0:69|2d1f518956cdc4b3cf6a9447714cfcd0:82,2d1f518956cdc4b3cf6a9447714cfcd0:79|2d1f518956cdc4b3cf6a9447714cfcd0:65|2d1f518956cdc4b3cf6a9447714cfcd0:68,7.633978,1
q0018,Thao tác thay đổi vị trí trong file (seek) có yêu cầu hoạt động vào/ra không?,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:16|2d1f518956cdc4b3cf6a9447714cfcd0:9,2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14,6.3592815,1
