chunk_id,document_id,order_index,page,end_page,section,text_len,text
1e8e6c622bfb571b0b783d8347182318:0,1e8e6c622bfb571b0b783d8347182318,0,1,,,143,Hệ Điều Hành (Nguyên lý các hệ điều hành) Đỗ Quốc Huy huydq@soict.hust.edu.vn Bộ môn Khoa Học Máy Tính Viện Công Nghệ Thông Tin và Truyền Thông
1e8e6c622bfb571b0b783d8347182318:1,1e8e6c622bfb571b0b783d8347182318,1,2,,,854,l Mục đích của hệ thống máy tính: thực hiện chương trình l Chương trình và dữ liệu (toàn bộ hoặc một phần) phải nằm trong bộ nhớ chính trong khi thực hiện l Byte tích cực:Những byte nội dung đang được thực hiện tại thời điểm quan sát l Phần chương trình chưa đưa vào bộ nhớ chính được lưu trên bộ nhớ thứ cấp (VD: đĩa cứng)⇒Bộ nhớ ảo l Cho phép lập trình viên không lo lắng về giới hạn bộ nhớ vật lý l Để s/d CPU hiệu quả và tăng tốc độ đáp ứng của hệ thống: l Cần luân chuyển CPU thường xuyên giữa các tiến trình Điều phối CPU (Phần 3- Chương 2) l Cần nhiều tiến trình sẵn sàng trong bộ nhớ l Hệ số song song của hệ thống: Số tiến trình đồng thời tồn tại trong hệ thống l Tồn tại nhiều chiến lược quản lý bộ nhớ khác nhau l Nhiều chiến lược đòi hỏi trợ giúp từ phần cứng l Thiết kế phần cứng có thể được tích hợp chặt chẽ với HDH Chương 3 Quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318:2,1e8e6c622bfb571b0b783d8347182318,2,3,,,111,①Tổng quan ②Các chiến lược quản lý bộ nhớ ③Bộ nhớ ảo ④Quản lý bộ nhớ trong VXL họ Intel Chương 3 Quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318:3,1e8e6c622bfb571b0b783d8347182318,3,4,,,112,lVí dụ lBộ nhớ và chương trình lLiên kết địa chỉ lCác cấu trúc chương trình Chương 3 Quản lý bộ nhớ 1. Tổng quan
1e8e6c622bfb571b0b783d8347182318:4,1e8e6c622bfb571b0b783d8347182318,4,5,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:5,1e8e6c622bfb571b0b783d8347182318,5,6,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:6,1e8e6c622bfb571b0b783d8347182318,6,7,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:7,1e8e6c622bfb571b0b783d8347182318,7,8,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:8,1e8e6c622bfb571b0b783d8347182318,8,9,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:9,1e8e6c622bfb571b0b783d8347182318,9,10,,,355,"Toto project file main.c #include <stdio.h> extern int x, y; extern void toto(); int main(int argc, char *argv[]){ toto(); printf(""KQ: %d \n"",x * y); return 0; } file M1.c int y = 10; file M2.c int x; extern int y; void toto(){ x = 10 * y; } Kết quả KQ: 1000 Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Ví dụ : Tạo chương trình thực thi từ nhiều modul"
1e8e6c622bfb571b0b783d8347182318:10,1e8e6c622bfb571b0b783d8347182318,10,11,,,369,"extern int x,y; extern void toto(); int main(){ toto() printf() } main.c int y=10; M1.c int x; extern int y; toto() M2.c Compiler (tcc -c) x y toto printf main.o [y←10] M1.o [x] y [toto] M2.o Thư viện [printf] Link (tlink) Header [y←10] [x] [printf] - - [toto] xy toto printf x y Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch toto project toto.exe"
1e8e6c622bfb571b0b783d8347182318:11,1e8e6c622bfb571b0b783d8347182318,11,12,,,112,lVí dụ lBộ nhớ và chương trình lLiên kết địa chỉ lCác cấu trúc chương trình Chương 3 Quản lý bộ nhớ 1. Tổng quan
1e8e6c622bfb571b0b783d8347182318:12,1e8e6c622bfb571b0b783d8347182318,12,13,,,593,"l Bộ nhớ là tài nguyên quan trọng của hệ thống l Chương trình phải nằm trong bộ nhớ trong để thực hiện l Bộ nhớ được đặc trưng bởi kích thước và tốc độ truy nhập l Bộ nhớ được phân cấp theo tốc độ truy nhập Loại bộ nhớ Kích thước Tốc độ Thanh ghi (Registers) Cache trên VXL Cache mức 2 Bộnhớ chính Bộ nhớ lưu trữ (Disk) Băng từ, đĩa quang bytes Kilo Bytes KiloByte-MegaByte MegaByte-GigaByte GigaByte-Terabytes Không giới hạn Tốc độ CPU(ηs) 10 nano seconds 100 nanoseconds e Micro-seconds Mili-Seconds 10 Seconds Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.2 Bộ nhớ và chương trình Phân cấp bộ nhớ"
1e8e6c622bfb571b0b783d8347182318:13,1e8e6c622bfb571b0b783d8347182318,13,14,,,254,"00000 00001 FFFFE FFFFF Memory l Dùng lưu trữdữliệu và chương trình l Là mảng các ô nhớkiểu bytes, words l Mỗi ô nhớcó một địa chỉriêng l Địa chỉvật lý: địa chỉx/hiện ởchân VXL Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.2 Bộ nhớ và chương trình Bộ nhớ chính"
1e8e6c622bfb571b0b783d8347182318:14,1e8e6c622bfb571b0b783d8347182318,14,15,,,483,"l Tồn tại trên thiết bị lưu trữ ngoài l Là các file nhị phân thực thi được l Vùng tham số file l Lệnh máy (mã nhị phân), l Vùng dữ liệu (biến toàn cục), . . l Phải được đưa vào bộ nhớ trong và được đặt trong một tiến trình để thực hiện (tiến trình thực hiện chương trình) l Hàng đợi vào (input queue) l Tập các tiến trình ở bộ nhớ ngoài (thông thường: disk) l Đợi để được đưa vào bộ nhớ trong và thực hiên Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.2 Bộ nhớ và chương trình Chương trình"
1e8e6c622bfb571b0b783d8347182318:15,1e8e6c622bfb571b0b783d8347182318,15,16,,,870,"l Nạp chương trình vào bộ nhớ l Đọc và phân tích (dịch) file thực thi (VD file *.com, file *.exe) l Xin vùng nhớ để nạp chương trình từ file trên đĩa l Thiết lập các tham số, các thanh ghi tới giá trị thích hợp l Thực thi chương trình l CPU lấy các lệnh trong bộ nhớ tại vị trí được xác định bởi bộ đếm chương trình (Program counter) l Cặp thanh ghi CS:IP với VXL họ Intel (Ví dụ : 80x86) l CPU giải mã lệnh l Có thể lấy thêm toán hạng từ bộ nhớ l Thực hiện lệnh với toán hạng l Nếu cần thiết, lưu kết quả vào bộ nhớ tại một địa chỉ xác định l Thực hiện xong l Giải phóng vùng không gian nhớ dành cho chương trình l Vấn đề l Chương trình có thể được nạp vào vị trí bất kỳ trong bộ nhớ l Khi thực hiện chương trình sinh ra chuỗi địa chỉ bộ nhớ l Truy nhập địa chỉ bộ nhớ như thế nào? Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.2 Bộ nhớ và chương trình Thực hiện chương trình"
1e8e6c622bfb571b0b783d8347182318:16,1e8e6c622bfb571b0b783d8347182318,16,17,,,112,lVí dụ lBộ nhớ và chương trình lLiên kết địa chỉ lCác cấu trúc chương trình Chương 3 Quản lý bộ nhớ 1. Tổng quan
1e8e6c622bfb571b0b783d8347182318:17,1e8e6c622bfb571b0b783d8347182318,17,18,,,296,Bộnhớtrong Chương trình nguồn Dịch Nạp Chương trình trong bộnhớ Các modul đối tượng khác Thư viện hệ thống Thư viện hệ thống được nạp động 20/ 96 Liên kết Modul đối tượng Modul thực hiện Liên kết động Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.3 Liên kết địa chỉ Các bước xử lý chương trình ứng dụng
1e8e6c622bfb571b0b783d8347182318:18,1e8e6c622bfb571b0b783d8347182318,18,19,,,771,"l Địa chỉ biểu tượng (symbolic) l Là tên của đối tượng trong chương trình nguồn l Ví dụ: counter, x, y,... l Địa chỉ tương đối l Sinh ra từ địa chỉ biểu tượng trong giai đoạn dịch (compiler) l Là vị trí tương đối của đối tượng kể từ đầu modul l Byte thứ 10 kể từ đầu modul l EB08 ⇒JMP +08: Nhảy tới vị trí cách vị trí hiện tại 8 ô l Địa chỉ tuyệt đối l Sinh ra từ địa chỉ tương đối trong giai đoạn nạp chương trình thực thi vào bộ nhớ để thực hiện l Với PC: địa chỉ tương đối <Seg :Ofs>→Seg * 16+Ofs l Là địa chỉ của đối tượng trong bộ nhớ vật lý-địa chỉ vật lý l Ví dụ: JMP 010A⇒Nhảy tới ô nhớ có vị trí 010Ah tại cùng đoạn mã lệnh (CS) l Nếu CS=1555h, sẽ đi tới vị trí: 1555h*10h+010Ah =1560Ah Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.3 Liên kết địa chỉ Các kiểu địa chỉ"
1e8e6c622bfb571b0b783d8347182318:19,1e8e6c622bfb571b0b783d8347182318,19,20,,,804,Xác định địa chỉ câu lệnh và dữ liệu trong bộ nhớ có thể thực hiện tại các giai đoạn khác nhau khi xử lý chương trình ứng dụng l Giai đoạn dịch: l Sử dụng khi biết chương trình sẽ nằm ở đâu trong bộ nhớ l Khi dịch sẽ sinh ra mã (địa chỉ) tuyệt đối l Phải dịch lại khi vị trí bắt đầu thay đổi l Thời điểm nạp: l Sử dụng khi không biết c/trình sẽ nằm ở đâu trong bộ nhớ l Các đối tượng được dịch ra sẽ mang địa chỉ tương đối l Xác định địa chỉ được hoãn lại tới khi khi nạp chương trình vào bộ nhớ l Trong khi thực hiện: l S/dụng khi các tiến trình có thể thay đổi vị trí trong khi t/hiện l Xác định địa chỉ được hoãn lại tới khi thực thi chương trình l Thường đòi hỏi trợ giúp từ phần cứng l Được sử dụng trong nhiều hệ điều hành Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.3 Liên kết địa chỉ Xác định địa chỉ
1e8e6c622bfb571b0b783d8347182318:20,1e8e6c622bfb571b0b783d8347182318,20,21,,,423,"l Địa chỉ logic (địa chỉ ảo) l Được sinh ra trong tiến trình, (CPU đưa ra) l Được khối quản lý bộ nhớ (MMU) chuyển sang địa chỉ vật lý khi truy nhập tới đối tượng trong chương trình l Địa chỉ vật lý l Địa chỉ của một phần tử (byte/word) của bộ nhớ l Tương ứng với địa chỉ logic được CPU đưa ra l Chương trình làm việc với địa chỉ logic Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.3 Liên kết địa chỉ Địa chỉ vật lý-địa chỉ logic"
1e8e6c622bfb571b0b783d8347182318:21,1e8e6c622bfb571b0b783d8347182318,21,22,,,142,lVí dụ lBộ nhớ và chương trình lLiên kết địa chỉ lCác cấu trúc chương trình Chương 3 Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình
1e8e6c622bfb571b0b783d8347182318:22,1e8e6c622bfb571b0b783d8347182318,22,23,,,158,25/ 96 ①Cấu trúc tuyến tính ②Cấu trúc nạp động ③Cấu trúc liên kết động ④Cấu trúc Overlays Chương 3: Quản lý bộ nhớ 1. Tổng quan 1. 4 Các cấu trúc chương trình
1e8e6c622bfb571b0b783d8347182318:23,1e8e6c622bfb571b0b783d8347182318,23,24,,,352,"M0 M1 M2 M3 Biên tập M0 M1 M2 M3 l Sau khi biên tập, các modul được tập hợp thành một chương trình hoàn thiện l Chứa đầy đủ các thông tin để có thể thực hiện được l Các biến trỏ ngoài đã thay bằng giá trị cụ thể l Để thực hiện, chỉ cần định vị một lần trong bộ nhớ Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc tuyến tính"
1e8e6c622bfb571b0b783d8347182318:24,1e8e6c622bfb571b0b783d8347182318,24,25,,,397,"27/ 96 l Ưu điểm l Đơn giản, dễ tổ chức biên tập và định vị chương trình l Thời gian thực hiện nhanh l Tính lưu động cao l Nhược điểm l Lãng phí bộ nhớ l Không phải toàn bộ chương trình đều cần thiết cho thực hiện chương trình l Không thực hiện được chương trình có kích thước lớn hơn kích thước bộ nhớ vật lý Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc tuyến tính"
1e8e6c622bfb571b0b783d8347182318:25,1e8e6c622bfb571b0b783d8347182318,25,26,,,142,M0 M1 M2 M3 Hệ điều hành l Mỗi modul được biên tập riêng Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động
1e8e6c622bfb571b0b783d8347182318:26,1e8e6c622bfb571b0b783d8347182318,26,27,,,192,"M0 M1 M2 M3 Hệ điều hành M0 l Mỗi modul được biên tập riêng l Khi thực hiện, hệ thống sẽ định vị modul gốc Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động"
1e8e6c622bfb571b0b783d8347182318:27,1e8e6c622bfb571b0b783d8347182318,27,28,,,251,"M0 M1 M2 M3 Hệ điều hành M0 M1 l Mỗi modul được biên tập riêng l Khi thực hiện, hệ thống sẽ định vị modul gốc l Cần tới modul nào sẽ xin bộ nhớ và giải nạp modul vào Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động"
1e8e6c622bfb571b0b783d8347182318:28,1e8e6c622bfb571b0b783d8347182318,28,29,,,254,"M0 M1 M2 M3 Hệ điều hành M0 M1 M2 l Mỗi modul được biên tập riêng l Khi thực hiện, hệ thống sẽ định vị modul gốc l Cần tới modul nào sẽ xin bộ nhớ và giải nạp modul vào Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.4 Các cấu trúc chương trình Cấu trúc nạp động"
