chunk_id,token_count,text_length,document_id,page,has_embedding
74040f5628748874779838fa7a292b09::chunk_0,31,143,74040f5628748874779838fa7a292b09,1,True
74040f5628748874779838fa7a292b09::chunk_1,62,258,74040f5628748874779838fa7a292b09,2,True
74040f5628748874779838fa7a292b09::chunk_2,62,258,74040f5628748874779838fa7a292b09,3,True
74040f5628748874779838fa7a292b09::chunk_3,35,151,74040f5628748874779838fa7a292b09,4,True
74040f5628748874779838fa7a292b09::chunk_4,36,149,74040f5628748874779838fa7a292b09,5,True
74040f5628748874779838fa7a292b09::chunk_5,90,379,74040f5628748874779838fa7a292b09,6,True
74040f5628748874779838fa7a292b09::chunk_6,40,168,74040f5628748874779838fa7a292b09,7,True
74040f5628748874779838fa7a292b09::chunk_7,40,166,74040f5628748874779838fa7a292b09,8,True
74040f5628748874779838fa7a292b09::chunk_8,149,618,74040f5628748874779838fa7a292b09,9,True
74040f5628748874779838fa7a292b09::chunk_9,125,533,74040f5628748874779838fa7a292b09,10,True
74040f5628748874779838fa7a292b09::chunk_10,35,151,74040f5628748874779838fa7a292b09,11,True
74040f5628748874779838fa7a292b09::chunk_11,38,152,74040f5628748874779838fa7a292b09,12,True
74040f5628748874779838fa7a292b09::chunk_12,210,859,74040f5628748874779838fa7a292b09,13,True
74040f5628748874779838fa7a292b09::chunk_13,29,116,74040f5628748874779838fa7a292b09,14,True
74040f5628748874779838fa7a292b09::chunk_14,183,747,74040f5628748874779838fa7a292b09,15,True
74040f5628748874779838fa7a292b09::chunk_15,62,258,74040f5628748874779838fa7a292b09,16,True
74040f5628748874779838fa7a292b09::chunk_16,42,183,74040f5628748874779838fa7a292b09,17,True
74040f5628748874779838fa7a292b09::chunk_17,131,552,74040f5628748874779838fa7a292b09,18,True
74040f5628748874779838fa7a292b09::chunk_18,75,314,74040f5628748874779838fa7a292b09,19,True
74040f5628748874779838fa7a292b09::chunk_19,82,349,74040f5628748874779838fa7a292b09,20,True
74040f5628748874779838fa7a292b09::chunk_20,55,249,74040f5628748874779838fa7a292b09,21,True
74040f5628748874779838fa7a292b09::chunk_21,98,416,74040f5628748874779838fa7a292b09,22,True
74040f5628748874779838fa7a292b09::chunk_22,42,183,74040f5628748874779838fa7a292b09,23,True
74040f5628748874779838fa7a292b09::chunk_23,71,291,74040f5628748874779838fa7a292b09,24,True
74040f5628748874779838fa7a292b09::chunk_24,195,798,74040f5628748874779838fa7a292b09,25,True
74040f5628748874779838fa7a292b09::chunk_25,26,112,74040f5628748874779838fa7a292b09,26,True
74040f5628748874779838fa7a292b09::chunk_26,126,550,74040f5628748874779838fa7a292b09,27,True
74040f5628748874779838fa7a292b09::chunk_27,131,545,74040f5628748874779838fa7a292b09,28,True
74040f5628748874779838fa7a292b09::chunk_28,131,549,74040f5628748874779838fa7a292b09,29,True
74040f5628748874779838fa7a292b09::chunk_29,177,721,74040f5628748874779838fa7a292b09,30,True
74040f5628748874779838fa7a292b09::chunk_30,174,667,74040f5628748874779838fa7a292b09,31,True
74040f5628748874779838fa7a292b09::chunk_31,31,146,74040f5628748874779838fa7a292b09,32,True
74040f5628748874779838fa7a292b09::chunk_32,23,98,74040f5628748874779838fa7a292b09,33,True
74040f5628748874779838fa7a292b09::chunk_33,116,458,74040f5628748874779838fa7a292b09,34,True
74040f5628748874779838fa7a292b09::chunk_34,45,200,74040f5628748874779838fa7a292b09,35,True
74040f5628748874779838fa7a292b09::chunk_35,143,576,74040f5628748874779838fa7a292b09,36,True
74040f5628748874779838fa7a292b09::chunk_36,63,262,74040f5628748874779838fa7a292b09,37,True
74040f5628748874779838fa7a292b09::chunk_37,62,258,74040f5628748874779838fa7a292b09,38,True
74040f5628748874779838fa7a292b09::chunk_38,30,134,74040f5628748874779838fa7a292b09,39,True
74040f5628748874779838fa7a292b09::chunk_39,193,835,74040f5628748874779838fa7a292b09,40,True
74040f5628748874779838fa7a292b09::chunk_40,110,430,74040f5628748874779838fa7a292b09,41,True
74040f5628748874779838fa7a292b09::chunk_41,30,134,74040f5628748874779838fa7a292b09,42,True
74040f5628748874779838fa7a292b09::chunk_42,67,276,74040f5628748874779838fa7a292b09,43,True
74040f5628748874779838fa7a292b09::chunk_43,128,561,74040f5628748874779838fa7a292b09,44,True
74040f5628748874779838fa7a292b09::chunk_44,167,749,74040f5628748874779838fa7a292b09,45,True
74040f5628748874779838fa7a292b09::chunk_45,127,558,74040f5628748874779838fa7a292b09,46,True
74040f5628748874779838fa7a292b09::chunk_46,151,597,74040f5628748874779838fa7a292b09,47,True
74040f5628748874779838fa7a292b09::chunk_47,104,419,74040f5628748874779838fa7a292b09,48,True
74040f5628748874779838fa7a292b09::chunk_48,159,626,74040f5628748874779838fa7a292b09,49,True
74040f5628748874779838fa7a292b09::chunk_49,98,410,74040f5628748874779838fa7a292b09,50,True
74040f5628748874779838fa7a292b09::chunk_50,62,258,74040f5628748874779838fa7a292b09,51,True
74040f5628748874779838fa7a292b09::chunk_51,41,178,74040f5628748874779838fa7a292b09,52,True
74040f5628748874779838fa7a292b09::chunk_52,80,315,74040f5628748874779838fa7a292b09,53,True
74040f5628748874779838fa7a292b09::chunk_53,104,393,74040f5628748874779838fa7a292b09,54,True
74040f5628748874779838fa7a292b09::chunk_54,41,178,74040f5628748874779838fa7a292b09,55,True
74040f5628748874779838fa7a292b09::chunk_55,80,352,74040f5628748874779838fa7a292b09,56,True
74040f5628748874779838fa7a292b09::chunk_56,41,178,74040f5628748874779838fa7a292b09,57,True
74040f5628748874779838fa7a292b09::chunk_57,71,310,74040f5628748874779838fa7a292b09,58,True
74040f5628748874779838fa7a292b09::chunk_58,41,178,74040f5628748874779838fa7a292b09,59,True
74040f5628748874779838fa7a292b09::chunk_59,92,388,74040f5628748874779838fa7a292b09,60,True
74040f5628748874779838fa7a292b09::chunk_60,41,178,74040f5628748874779838fa7a292b09,61,True
74040f5628748874779838fa7a292b09::chunk_61,37,160,74040f5628748874779838fa7a292b09,62,True
74040f5628748874779838fa7a292b09::chunk_62,62,258,74040f5628748874779838fa7a292b09,63,True
74040f5628748874779838fa7a292b09::chunk_63,47,201,74040f5628748874779838fa7a292b09,64,True
74040f5628748874779838fa7a292b09::chunk_64,116,504,74040f5628748874779838fa7a292b09,65,True
74040f5628748874779838fa7a292b09::chunk_65,120,522,74040f5628748874779838fa7a292b09,66,True
74040f5628748874779838fa7a292b09::chunk_66,100,447,74040f5628748874779838fa7a292b09,67,True
74040f5628748874779838fa7a292b09::chunk_67,17,70,74040f5628748874779838fa7a292b09,68,True
74040f5628748874779838fa7a292b09::chunk_68,47,201,74040f5628748874779838fa7a292b09,69,True
74040f5628748874779838fa7a292b09::chunk_69,226,929,74040f5628748874779838fa7a292b09,70,True
74040f5628748874779838fa7a292b09::chunk_70,144,627,74040f5628748874779838fa7a292b09,71,True
74040f5628748874779838fa7a292b09::chunk_71,92,380,74040f5628748874779838fa7a292b09,72,True
74040f5628748874779838fa7a292b09::chunk_72,47,201,74040f5628748874779838fa7a292b09,73,True
74040f5628748874779838fa7a292b09::chunk_73,131,545,74040f5628748874779838fa7a292b09,74,True
74040f5628748874779838fa7a292b09::chunk_74,22,88,74040f5628748874779838fa7a292b09,75,True
74040f5628748874779838fa7a292b09::chunk_75,47,201,74040f5628748874779838fa7a292b09,76,True
74040f5628748874779838fa7a292b09::chunk_76,187,777,74040f5628748874779838fa7a292b09,77,True
74040f5628748874779838fa7a292b09::chunk_77,24,97,74040f5628748874779838fa7a292b09,78,True
74040f5628748874779838fa7a292b09::chunk_78,62,258,74040f5628748874779838fa7a292b09,79,True
74040f5628748874779838fa7a292b09::chunk_79,35,151,74040f5628748874779838fa7a292b09,80,True
74040f5628748874779838fa7a292b09::chunk_80,63,269,74040f5628748874779838fa7a292b09,81,True
74040f5628748874779838fa7a292b09::chunk_81,172,756,74040f5628748874779838fa7a292b09,82,True
74040f5628748874779838fa7a292b09::chunk_82,197,821,74040f5628748874779838fa7a292b09,83,True
74040f5628748874779838fa7a292b09::chunk_83,127,541,74040f5628748874779838fa7a292b09,84,True
74040f5628748874779838fa7a292b09::chunk_84,105,429,74040f5628748874779838fa7a292b09,85,True
74040f5628748874779838fa7a292b09::chunk_85,124,503,74040f5628748874779838fa7a292b09,86,True
74040f5628748874779838fa7a292b09::chunk_86,142,598,74040f5628748874779838fa7a292b09,87,True
74040f5628748874779838fa7a292b09::chunk_87,113,497,74040f5628748874779838fa7a292b09,88,True
74040f5628748874779838fa7a292b09::chunk_88,118,476,74040f5628748874779838fa7a292b09,89,True
74040f5628748874779838fa7a292b09::chunk_89,94,398,74040f5628748874779838fa7a292b09,90,True
74040f5628748874779838fa7a292b09::chunk_90,35,151,74040f5628748874779838fa7a292b09,91,True
74040f5628748874779838fa7a292b09::chunk_91,200,861,74040f5628748874779838fa7a292b09,92,True
74040f5628748874779838fa7a292b09::chunk_92,123,530,74040f5628748874779838fa7a292b09,93,True
74040f5628748874779838fa7a292b09::chunk_93,35,151,74040f5628748874779838fa7a292b09,94,True
74040f5628748874779838fa7a292b09::chunk_94,42,180,74040f5628748874779838fa7a292b09,95,True
74040f5628748874779838fa7a292b09::chunk_95,96,403,74040f5628748874779838fa7a292b09,96,True
74040f5628748874779838fa7a292b09::chunk_96,35,151,74040f5628748874779838fa7a292b09,97,True
74040f5628748874779838fa7a292b09::chunk_97,30,132,74040f5628748874779838fa7a292b09,98,True
74040f5628748874779838fa7a292b09::chunk_98,30,130,74040f5628748874779838fa7a292b09,99,True
74040f5628748874779838fa7a292b09::chunk_99,30,130,74040f5628748874779838fa7a292b09,100,True
74040f5628748874779838fa7a292b09::chunk_100,29,123,74040f5628748874779838fa7a292b09,101,True
74040f5628748874779838fa7a292b09::chunk_101,30,135,74040f5628748874779838fa7a292b09,102,True
74040f5628748874779838fa7a292b09::chunk_102,34,153,74040f5628748874779838fa7a292b09,103,True
74040f5628748874779838fa7a292b09::chunk_103,62,258,74040f5628748874779838fa7a292b09,104,True
