chunk_id,document_id,order_index,page,end_page,section,text_len,text
1e8e6c622bfb571b0b783d8347182318:0,1e8e6c622bfb571b0b783d8347182318,0,1,,,143,Hệ Điều Hành (Nguyên lý các hệ điều hành) Đỗ Quốc Huy huydq@soict.hust.edu.vn Bộ môn Khoa Học Máy Tính Viện Công Nghệ Thông Tin và Truyền Thông
1e8e6c622bfb571b0b783d8347182318:1,1e8e6c622bfb571b0b783d8347182318,1,2,,,855,l Mục đích của hệ thống máy tính: thực hiện chương trình l Chương trình và dữ liệu (toàn bộ hoặc một phần) phải nằm trong bộ nhớ chính trong khi thực hiện l Byte tích cực:Những byte nội dung đang được thực hiện tại thời điểm quan sát l Phần chương trình chưa đưa vào bộ nhớ chính được lưu trên bộ nhớ thứ cấp (VD: đĩa cứng)⇒ Bộ nhớ ảo l Cho phép lập trình viên không lo lắng về giới hạn bộ nhớ vật lý l Để s/d CPU hiệu quả và tăng tốc độ đáp ứng của hệ thống: l Cần luân chuyển CPU thường xuyên giữa các tiến trình Điều phối CPU (Phần 3- Chương 2) l Cần nhiều tiến trình sẵn sàng trong bộ nhớ l Hệ số song song của hệ thống: Số tiến trình đồng thời tồn tại trong hệ thống l Tồn tại nhiều chiến lược quản lý bộ nhớ khác nhau l Nhiều chiến lược đòi hỏi trợ giúp từ phần cứng l Thiết kế phần cứng có thể được tích hợp chặt chẽ với HDH Chương 3 Quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318:2,1e8e6c622bfb571b0b783d8347182318,2,3,,,111,①Tổng quan ②Các chiến lược quản lý bộ nhớ ③Bộ nhớ ảo ④Quản lý bộ nhớ trong VXL họ Intel Chương 3 Quản lý bộ nhớ
1e8e6c622bfb571b0b783d8347182318:3,1e8e6c622bfb571b0b783d8347182318,3,4,,,112,lVí dụ lBộ nhớ và chương trình lLiên kết địa chỉ lCác cấu trúc chương trình Chương 3 Quản lý bộ nhớ 1. Tổng quan
1e8e6c622bfb571b0b783d8347182318:4,1e8e6c622bfb571b0b783d8347182318,4,5,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:5,1e8e6c622bfb571b0b783d8347182318,5,6,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:6,1e8e6c622bfb571b0b783d8347182318,6,7,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:7,1e8e6c622bfb571b0b783d8347182318,7,8,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:8,1e8e6c622bfb571b0b783d8347182318,8,9,,,74,Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Quá trình biên dịch file C
1e8e6c622bfb571b0b783d8347182318:9,1e8e6c622bfb571b0b783d8347182318,9,10,,,355,"Toto project file main.c #include <stdio.h> extern int x, y; extern void toto(); int main(int argc, char *argv[]){ toto(); printf(""KQ: %d \n"",x * y); return 0; } file M1.c int y = 10; file M2.c int x; extern int y; void toto(){ x = 10 * y; } Kết quả KQ: 1000 Chương 3: Quản lý bộ nhớ 1. Tổng quan 1.1 Ví dụ Ví dụ : Tạo chương trình thực thi từ nhiều modul"
