chunk_id,document_id,order_index,page,end_page,section,text_len,text
2d1f518956cdc4b3cf6a9447714cfcd0:0,2d1f518956cdc4b3cf6a9447714cfcd0,0,1,,,143,Hệ Điều Hành (Nguyên lý các hệ điều hành) Đỗ Quốc Huy huydq@soict.hust.edu.vn Bộ môn Khoa Học Máy Tính Viện Công Nghệ Thông Tin và Truyền Thông
2d1f518956cdc4b3cf6a9447714cfcd0:1,2d1f518956cdc4b3cf6a9447714cfcd0,1,2,,,931,"l Bộ nhớ ngoài (đĩa từ, băng từ, đĩa quang,..): dung lượng lớn và cho phép lưu trữ lâu dài l Được người dùng sử dụng lưu trữ dữ liệu và chương trình l Dữ liệu và chương trình được lưu dưới dạng file (tập tin/tệp) ⇒ Tạo nên hệ thống file l Hệ thống file gồm 2 phần riêng biệt l Các file: Chứa dữ liệu/chương trình của hệ thống/người dùng l Cấu trúc thư mục : Cung cấp các thông tin về file l Hệ thống file lớn ⇒ Quản lý như thế nào? l Các thuộc tính của file, thao tác cần phải cung cấp? l Lưu trữ và truy xuất dữ liệu trên thiết bị lưu trữ như thế nào? l Phương pháp cung cấp không gian lưu trữ, quản lý vùng tự do ⇒Khó khăn phải trong suốt với người dùng (tính thuận tiện) l Các file dữ liệu /chương trình có thể sử dụng chung l Đảm bảo tính toàn vẹn dữ liệu và loại bỏ truy nhập bất hợp lệ? l Dữ liệu không lưu trữ tập trung ⇒ hệ thống file phân tán l Truy nhập file từ xa, đảm bảo tính toàn vẹn... Chương 4 Quản lý hệ thống file"
2d1f518956cdc4b3cf6a9447714cfcd0:2,2d1f518956cdc4b3cf6a9447714cfcd0,2,3,,,113,①Hệ thống file ②Cài đặt hệ thống file ③Tổ chức thông tin trên đĩa từ ④Hệ thống FAT Chương 4 Quản lý hệ thống file
2d1f518956cdc4b3cf6a9447714cfcd0:3,2d1f518956cdc4b3cf6a9447714cfcd0,3,4,,,101,lKhái niệm file lCấu trúc thư mục Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file
2d1f518956cdc4b3cf6a9447714cfcd0:4,2d1f518956cdc4b3cf6a9447714cfcd0,4,5,,,723,"Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Giới thiệu l Thông tin lưu trữ trên nhiều phương tiện/thiết bị lưu trữ khác nhau l Ví dụ: Đĩa từ, băng từ, đĩa quang... l Thiết bị lưu trữ được mô hình như một mảng của các khối nhớ l File là tập thông tin ghi trên thiết bị lưu trữ. l File là đơn vị lưu trữ của hệ điều hành trên bộ nhớ ngoài l File bao gồm dãy các bits, bytes, dòng, bản ghi,... mang ý nghĩa được định nghĩa bởi người tạo ra l Cấu trúc của file được định nghĩa theo loại file l File văn bản: Chuỗi ký tự tổ chức thành dòng l File đối tượng: Bytes được tổ chức thành khối để chương trình liên kết (linker) hiểu được l File thực thi: Chuỗi các mã lệnh có thể thực hiện trong bộ nhớ l . . ."
2d1f518956cdc4b3cf6a9447714cfcd0:5,2d1f518956cdc4b3cf6a9447714cfcd0,5,6,,,1053,"Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Các thuộc tính file l Tên file (Name): Chuỗi ký tự (hello.c) l Thông tin lưu dưới dạng người dùng có thể đọc được l Có thể phân biệt chữ hoa/chữ thường l Đảm bảo tính độc lập của file với tiến trình, người dùng... l A tạo file hello.c bằng notepad trên hệ Windows l B dùng emacs trên linux sửa lại file bởi xác định tên hello.c l Định danh (Identifier): Thẻ xác định duy nhất một file l Kiểu (Type): Dùng cho hệ thống hỗ trợ nhiều kiểu file l Có thể xác định kiểu file dựa trên một phần của tên file l Ví dụ: .exe, .com/ .doc, .txt/ .c, .jav, .pas/ .pdf, .jpg,... l Dựa trên kiểu, HĐH sẽ thao tác trên tập tin phù hợp l Thực hiện file thực thi mà file nguồn đã sửa ⇒ Dịch lại l Nháy đúp vào một file văn bản (*.doc)⇒ Gọi word processor l Vị trí (Position): Trỏ tới thiết bị và vị trí của file trên đó l Kích thước (Size): Kích thước hiện thời/ tối đa của file l Bảo vệ (Protection): Điều khiển truy nhập: Ai có thể đọc/ghi.. l Thời gian (Time): Thời điểm tạo, sửa đổi, sử dụng cuối ..."
2d1f518956cdc4b3cf6a9447714cfcd0:6,2d1f518956cdc4b3cf6a9447714cfcd0,6,7,,,570,Không gian lưu trữ hello.c vi trí hdh.pdf vi trí hello.c hdh.pdf Bản ghi file Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Các thuộc tính file (tiếp tục) l Thuộc tính file được lưu trong cấu trúc dữ liệu: Bản ghi file l Có thể chỉ chứa tên file và định danh file; định danh file xác định các thông tin còn lại l Kích thước từ vài bytes lên tới kilobytes l Các bản ghi file được lưu giữ trong Thư mục file l Kích thước có thể đạt tới Megabytes l Thường được lữu trữ trên thiết bị nhớ ngoài l Được đưa từng phần vào bộ nhớ khi cần thiết Thư mục file
2d1f518956cdc4b3cf6a9447714cfcd0:7,2d1f518956cdc4b3cf6a9447714cfcd0,7,8,,,233,Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Các thao tác cơ bản l Tạo file (Create) l Ghi file (Write) l Đọc file (Read) l Thay đổi vị trí trong file(Seek) l Xóa file (Delete) l Thu gọn file (Truncate) l . . .
2d1f518956cdc4b3cf6a9447714cfcd0:8,2d1f518956cdc4b3cf6a9447714cfcd0,8,9,,,387,"Thư mục file hello.c vi trí hello.c Create(SoNT.dat) SoNT.dat vi trí 19/04/2011 Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Các thao tác cơ bản : Tạo file l Tìm vùng tự do trong không gian lưu trữ của hệ thống file l Cung cấp vùng trống như thế nào? l Tạo một phần tử mới trong thư mục file Không gian lưu trữ l Lưu tên file, vị trí của file và các thông tin khác"
2d1f518956cdc4b3cf6a9447714cfcd0:9,2d1f518956cdc4b3cf6a9447714cfcd0,9,10,,,511,"Thư mục file hello.c vi trí hello.c Write(SoNT.dat, 17) SoNT.dat vi trí 19/04/2011 Chương 4: Quản lý hệ thống file 1. Hệ thống file 1.1 Khái niệm file Các thao tác cơ bản : Ghi file l Lời gọi hệ thống Write() yêu cầu tên file và dữ liệu được ghi l Dùng tên file, tìm kiếm file trong thư mục file l Dựa vào trường vị trí, tìm vị trí của file trên thiết bị lưu trữ l Hệ thống lưu con trỏ ghi (write pointer) để chỉ ra vị trí ghi l Con trỏ ghi thay đổi sau mỗi thao tác ghi Không gian lưu trữ Kiemtra.pdf 235 17 wp"
