chunk_id,document_id,order_index,page,end_page,section,text_len,text
74040f5628748874779838fa7a292b09:0,74040f5628748874779838fa7a292b09,0,1,,,143,Hệ Điều Hành (Nguyên lý các hệ điều hành) Đỗ Quốc Huy huydq@soict.hust.edu.vn Bộ môn Khoa Học Máy Tính Viện Công Nghệ Thông Tin và Truyền Thông
74040f5628748874779838fa7a292b09:1,74040f5628748874779838fa7a292b09,1,2,,,258,① Khái niệm Hệ điều hành ② Lịch sử phát triển Hệ điều hành ③ Định nghĩa và phân loại Hệ điều hành ④ Tính chất cơ bản của Hệ điều hành ⑤ Các khái niệm trong Hệ điều hành ⑥ Cấu trúc Hệ điều hành ⑦ Vấn đề xây dựng Hệ điều hành Chương 1 Tổng quan về Hệ Điều Hành
74040f5628748874779838fa7a292b09:2,74040f5628748874779838fa7a292b09,2,3,,,258,① Khái niệm Hệ điều hành ② Lịch sử phát triển Hệ điều hành ③ Định nghĩa và phân loại Hệ điều hành ④ Tính chất cơ bản của Hệ điều hành ⑤ Các khái niệm trong hệ điều hành ⑥ Cấu trúc hệ điều hành ⑦ Vấn đề xây dựng Hệ điều hành Chương 1 Tổng quan về Hệ Điều Hành
74040f5628748874779838fa7a292b09:3,74040f5628748874779838fa7a292b09,3,4,,,151,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành ① Khái niệm Hệ điều hành lCấu trúc phân lớp của hệ thống tính toán lChức năng hệ điều hành
74040f5628748874779838fa7a292b09:4,74040f5628748874779838fa7a292b09,4,5,,,149,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.1. Cấu trúc phân lớp của hệ thống tính toán lSơ đồ kiến trúc của một hệ thống máy tính
74040f5628748874779838fa7a292b09:5,74040f5628748874779838fa7a292b09,5,6,,,379,"Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.1. Cấu trúc phân lớp của hệ thống tính toán lSơ đồ kiến trúc của một hệ thống máy tính l Một/ nhiều CPUs, các thiết bị điều khiển được liên kết bằng một hệ thống bus chung để truy nhập tới bộ nhớ chia sẻ l Các thiết bị điều khiển và CPU thực hiện đồng thời, cạnh tranh với nhau Bộ vào ra Bộ nhớ Đường Truyền Bộ xử lý"
74040f5628748874779838fa7a292b09:6,74040f5628748874779838fa7a292b09,6,7,,,168,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.1. Cấu trúc phân lớp của hệ thống tính toán l Các thành phần của một hệ thống máy tính(Silberschatz 2002)
74040f5628748874779838fa7a292b09:7,74040f5628748874779838fa7a292b09,7,8,,,166,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.1. Cấu trúc phân lớp của hệ thống tính toán l Các thành phần của một hệ thống máy tính (Tanenbaum 2001)
74040f5628748874779838fa7a292b09:8,74040f5628748874779838fa7a292b09,8,9,,,618,"Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.1. Cấu trúc phân lớp của hệ thống tính toán l Các thành phần của một hệ thống máy tính l Phần cứng (Hardware) Cung cấp các tài nguyên tính toán cơ bản (CPU, bộ nhớ, thiết bị vào ra) l Hệ điều hành (Operating system) điều khiển và phối hợp việc sử dụng phần cứng cho những ứng dụng khác nhau của nhiều người sử dụng khác nhau l Chương trình ứng dụng(Application programs) (chương trình dịch, hệ cơ sở dữ liệu, game,...) sử dụng tài nguyên của máy tính để giải quyết các yêu cầu của người sử dụng l Người dùng (Users) Người sử dụng máy móc hay máy tính khác"
74040f5628748874779838fa7a292b09:9,74040f5628748874779838fa7a292b09,9,10,,,533,"Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.1. Cấu trúc phân lớp của hệ thống tính toán l Mục tiêu l Hệ điều hành (Operating system) nằm giữa phần cứng của hệ thống và các chương trình ứng dụng l Mục tiêu: Cung cấp một môi trường để người sử dụng có thể thực hiện các chương trình ứng dụng và làm cho máy tính dễ sử dụng hơn, thuận lợi hơn và hiệu quả hơn. l Chuẩn hóa giao diện người dùng đối với các hệ thống phần cứng khác nhau l Sử dụng hiệu quả tài nguyên phần cứng và khai thác tối đa hiệu suất của phần cứng"
74040f5628748874779838fa7a292b09:10,74040f5628748874779838fa7a292b09,10,11,,,151,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành ① Khái niệm Hệ điều hành lCấu trúc phân lớp của hệ thống tính toán lChức năng hệ điều hành
74040f5628748874779838fa7a292b09:11,74040f5628748874779838fa7a292b09,11,12,,,152,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.2. Chức năng của hệ điều hành ① Giả lập một máy tính ảo ② Quản lý tài nguyên của hệ thống
74040f5628748874779838fa7a292b09:12,74040f5628748874779838fa7a292b09,12,13,,,859,"Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.2. Chức năng của hệ điều hành Giả lập một máy tính ảo Giúp ẩn dấu chi tiết phải thực hiện và khai thác các chức năng của phần cứng máy tính dễ dàng và hiệu quả hơn. l Đơn giản hóa vấn đề lập trình l Không phải làm việc với các dãy nhị phân l Mỗi tiến trình nghĩ nó sở hữu toàn bộ bộ nhớ, thời gian CPU, thiết bị... l Giúp giao tiếp với thiết bị dễ dàng hơn so với phần cứng thuần túy. Ethernet card: Trao đổi tin cậy, theo thứ tự (TCP/IP) l Mở rộng hệ thống →hệ thống dường như có những đặc trưng mong muốn (bộ nhớ ảo, máy in ảo..) l Các tiến trình không ảnh hưởng trực tiếp đến tiến trình khác → lỗi ở một tiến trình không làm hỏng toàn bộ hệ thống l Hữu ích cho phát triển hệ điều hành l Nếu HĐH thử nghiệm bị lỗi, chỉ giới hạn trong máy ảo l Trợ giúp kểm tra các chương trình trên các HĐH khác"
74040f5628748874779838fa7a292b09:13,74040f5628748874779838fa7a292b09,13,14,,,116,Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.2. Chức năng của hệ điều hành Giả lập một máy tính ảo
74040f5628748874779838fa7a292b09:14,74040f5628748874779838fa7a292b09,14,15,,,747,"Chương 1 Tổng quan về Hệ Điều Hành 1. Khái niệm Hệ điều hành 1.2. Chức năng của hệ điều hành Quản lý tài nguyên của hệ thống l Tài nguyên hệ thống (Vi xử lý, bộ nhớ, thiết bị vào ra, file...) được chương trình sử dụng để thực hiện công việc xác định l Các chương trình đòi hỏi tài nguyên về mặt thời gian (sử dụng) và không gian (nhớ) l Hệ điều hành phải quản lý tài nguyên để hoạt động của máy tính một cách hiệu quả nhất l Phân phối các tài nguyên cho các chương trình khi cần thiết l Giải quyết tranh chấp l Quyết định thứ tự cấp phát tài nguyên cho những yêu cầu l Ví dụ: quản lý tài nguyên bộ nhớ (hữu hạn) l Nhiều chương trình cùng có thể được thực hiện l Tránh truy cập bất hợp lệ l Phải đảm bảo toàn vẹn dữ liệu (dùng chung vùng nhớ: file)"
74040f5628748874779838fa7a292b09:15,74040f5628748874779838fa7a292b09,15,16,,,258,① Khái niệm Hệ điều hành ② Lịch sử phát triển Hệ điều hành ③ Các khái niệm trong hệ điều hành ④ Định nghĩa và phân loại Hệ điều hành ⑤ Tính chất cơ bản của Hệ điều hành ⑥ Cấu trúc hệ điều hành ⑦ Vấn đề xây dựng Hệ điều hành Chương 1 Tổng quan về Hệ Điều Hành
74040f5628748874779838fa7a292b09:16,74040f5628748874779838fa7a292b09,16,17,,,183,Chương 1 Tổng quan về Hệ Điều Hành 2. Lịch sử phát triển của Hệ điều hành Lịch sử phát triển Hệ điều hành lLịch sử phát triển của máy tính điện tử lLịch sử phát triển của hệ điều hành
