chunk_id,document_id,order_index,page,end_page,section,text_len,text
a3aa8203ae0398a1ef263322bcadebc3:0,a3aa8203ae0398a1ef263322bcadebc3,0,1,,,143,Hệ Điều Hành (Nguyên lý các hệ điều hành) Đỗ Quốc Huy huydq@soict.hust.edu.vn Bộ môn Khoa Học Máy Tính Viện Công Nghệ Thông Tin và Truyền Thông
a3aa8203ae0398a1ef263322bcadebc3:1,a3aa8203ae0398a1ef263322bcadebc3,1,2,,,100,①Nguyên tắc quản lý chung ②Dịch vụ vào ra của hệ thống ③ Hệ thống vào ra đĩa Chương 5 Quản lý vào ra
a3aa8203ae0398a1ef263322bcadebc3:2,a3aa8203ae0398a1ef263322bcadebc3,2,3,,,76,lGiới thiệu lNgắt và xử lý ngắt Chương 5: Quản lý vào ra 1. Nguyên tắc chung
a3aa8203ae0398a1ef263322bcadebc3:3,a3aa8203ae0398a1ef263322bcadebc3,3,4,,,140,"Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu Thiết bị vào ra l Đa dạng, nhiều loại thiết bị, mỗi loại có nhiều kiểu khác nhau"
a3aa8203ae0398a1ef263322bcadebc3:4,a3aa8203ae0398a1ef263322bcadebc3,4,5,,,229,"Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu Thiết bị vào ra Quan điểm l kỹ thuật: là các thiết bị với bộ VXL, motor, các linh kiện khác l lập trình: Giao diện như phần mềm để nhận lệnh, thực hiện và trả kết quả về"
a3aa8203ae0398a1ef263322bcadebc3:5,a3aa8203ae0398a1ef263322bcadebc3,5,6,,,428,"Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu Thiết bị vào ra l Phân loại thiết bị ngoại vi l khối (Đĩa từ, băng từ) l Thông tin được lưu trữ có kích thước cố định và địa chỉ riêng l Có thể đọc ghi 1 khối độc lập với khối khác l Tồn tại thao tác định vị thông tin (seek) l ký tự (Máy in, Bàn phím, chuột,..) l Chấp nhận luồng ký tự, không có cấu trúc khối l Không có thao tác định vị thông tin l Loại khác: Đồng hồ"
a3aa8203ae0398a1ef263322bcadebc3:6,a3aa8203ae0398a1ef263322bcadebc3,6,7,,,425,Thiết bị điều khiển I Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu l Thiết bị ngoại vi (Tbnv) đa dạng và nhiều loại l CPU không biết hết ⇒ Không tồn tại tín hiệu riêng cho từng thiết bị l Processor không điều khiển trực tiếp thiết bị l TBNV được nối với hệ thống qua thiết bị điều khiển (D.C - Device Controller-Bộ điều khiển thiết bị) l Các mạch điện tử được cắm trên các khe cắm (slot) của mainboard máy tính
a3aa8203ae0398a1ef263322bcadebc3:7,a3aa8203ae0398a1ef263322bcadebc3,7,8,,,82,Thiết bị điều khiển II Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu
a3aa8203ae0398a1ef263322bcadebc3:8,a3aa8203ae0398a1ef263322bcadebc3,8,9,,,380,"Thiết bị điều khiển II Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu l Mỗi TBĐK có thể điều khiển được 1,2,4,.. Tbnv l Tùy theo số giắc cắm có trên TBĐK l Nếu giao diện điều khiển chuẩn (ANSI, IEEE, ISO,...) có thể nối tới nhiều thiết bị khác l Mỗi TBĐK có các thanh ghi riêng để làm việc với CPU l Dùng các không gian địa chỉ đặc biệt cho các thanh ghi: cổng vào ra"
a3aa8203ae0398a1ef263322bcadebc3:9,a3aa8203ae0398a1ef263322bcadebc3,9,10,,,83,Thiết bị điều khiển III Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu
a3aa8203ae0398a1ef263322bcadebc3:10,a3aa8203ae0398a1ef263322bcadebc3,10,11,,,655,"l Giao diện TBĐK và TBNV: Giao diện mức rất thấp l Sector = 512bytes = 4096bits l Bộ điều khiển đĩa phải đọc/ghi các bit và nhóm lại thành các sector l HĐH chỉ làm việc với các TBĐK l Thông qua các thanh ghi điều khiển của thiết bị l Các câu lệnh và tham số sẽ được đưa vào các thanh ghi điều khiển l Khi 1 lệnh được bộ điều khiển chấp nhận, CPU sẽ để cho bộ điều khiển hoạt động một mình và nó quay sang làm công việc khác l Khi lệnh thực hiện xong, bộ điều khiển sẽ báo cho CPU bằng tín hiệu ngắt l CPU sẽ lấy KQ và trạng thái thiết bị thông qua các thanh ghi điều khiển Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu Thiết bị điều khiển IV"
a3aa8203ae0398a1ef263322bcadebc3:11,a3aa8203ae0398a1ef263322bcadebc3,11,12,,,716,"Trình điều khiển thiết bị (Device driver) Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu l Là đoạn mã trong nhân của hệ thống cho phép tương tác trực tiếp với phần cứng thiết bị l Cung cấp 1 giao diện chuẩn cho các Tbnv khác nhau l Các device driver thường được chia làm 2 mức l Mức cao : Được truy nhập qua các lời gọi hệ thống l Cài đặt tập lời gọi chuẩn như open(), close(), read(), write()... l Là giao diện của nhân HĐH với trình điều khiển l Luồng mức cao khởi động thiết bị thực hiện vào/ra và sau đó đặt luồng điều khiển tạm nghỉ l Mức thấp: Được thực hiện như 1 thủ tục ngắt l Đọc dữ liệu đầu vào, hoặc đưa khối dữ liệu tiếp theo ra ngoài l Đánh thức luồng tạm nghỉ mức trên khi vào/ra kết thúc"
a3aa8203ae0398a1ef263322bcadebc3:12,a3aa8203ae0398a1ef263322bcadebc3,12,13,,,89,Chu kỳ của một yêu cầu vào ra Chương 5: Quản lý vào ra 1. Nguyên tắc chung 1.1 Giới thiệu
