chunk_id,document_id,order_index,page,end_page,section,text_len,text
ea73ad6304ed438f7e7d4c59ddd227a1:0,ea73ad6304ed438f7e7d4c59ddd227a1,0,1,,,143,Hệ Điều Hành (Nguyên lý các hệ điều hành) Đỗ Quốc Huy huydq@soict.hust.edu.vn Bộ môn Khoa Học Máy Tính Viện Công Nghệ Thông Tin và Truyền Thông
ea73ad6304ed438f7e7d4c59ddd227a1:1,ea73ad6304ed438f7e7d4c59ddd227a1,1,2,,,51,① Định nghĩa tiến trình Chương 2 Quản lý tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:2,ea73ad6304ed438f7e7d4c59ddd227a1,2,3,,,747,"Tiến trình (nhắc lại) lKhi chương trình đang thực hiện l Được cung cấp tài nguyên (CPU, bộ nhớ, thiết bị vào/ra. . .) để hoàn thành công việc l Tài nguyên được cấp khi: l Bắt đầu chương trình l Trong khi chương trình đang thực hiện lGọi là tiến trình (process) lHệ thống bao gồm tập các tiến trình thực hiện đồng thời l Tiến trình hệ điều hành Thực hiện mã lệnh hệ thống l Tiến trình người dùng Thực hiện mã lệnh người dùng lTiến trình có thể chứa một hoặc nhiều tiểu trình lTrách nhiệm của Hệ điều hành: l Đảm bảo họat động của tiến trình và tiểu trình (luồng) l Tạo/xóa tiến trình (người dùng, hệ thống) l Điều phối tiến trình l Cung cấp cơ chế đồng bộ, truyền thông và ngăn ngừa tình trạng bế tắc giữa các tiến trình Chương 2 Quản lý tiến trình"
ea73ad6304ed438f7e7d4c59ddd227a1:3,ea73ad6304ed438f7e7d4c59ddd227a1,3,4,,,138,Chương 2 Quản lí tiến trình ① Tiến trình ② Luồng (Thread) ③ Điều phối CPU ④ Tài nguyên găng và điều độ tiến trình ⑤ Bế tắc và xử lý bế tắc
ea73ad6304ed438f7e7d4c59ddd227a1:4,ea73ad6304ed438f7e7d4c59ddd227a1,4,5,,,208,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình lKhái niệm tiến trình lĐiều phối tiến trình (Process Scheduling) lThao tác trên tiến trình lHợp tác tiến trình lTruyền thông liên tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:5,ea73ad6304ed438f7e7d4c59ddd227a1,5,6,,,554,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình * Trạng thái hệ thống l Vi xử lý: Giá trị các thanh ghi l Bộ nhớ: Nội dung các ô nhớ l Thiết bị ngoại vi: Trạng thái thiết bị l Thực hiện chương trình ⇒Trạng thái hệ thống thay đổi l Thay đổi rời rạc, theo từng câu lệnh được thực hiện l Tiến trình là một dãy thay đổi trạng thái của hệ thống l Xuất phát từ một trạng thái ban đầu l Chuyển từ trạng thái này sang trạng thái khác được thực hiện theo yêu cầu nằm trong chương trình của người sử dụng Tiến trình là sự thực hiện chương trình"
ea73ad6304ed438f7e7d4c59ddd227a1:6,ea73ad6304ed438f7e7d4c59ddd227a1,6,7,,,837,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình l Chương trình: thực thể thụ động (nội dung file trên đĩa) l Mã chương trình: Lệnh máy (CD2190EA...) l Dữ liệu: l Biến được lưu trữ và sử dụng trong bộ nhớ l Biến toàn cục l Biến được cung cấp động (malloc, new,..) l Biến stack (tham số hàm, biến cục bộ) l Thư viện liên kết động (DLL) l Không được dịch & liên kết cùng với chương trình Khi chương trình đang thực hiện, tài nguyên tối thiểu cần có l Bộ nhớ cho mã chương trình và dữ liệu l Các thanh ghi của VXL phục vụ cho quá trình thực hiện l Tiến trình: thực thể chủ động (bộ đếm lệnh, tập tài nguyên) Một chương trình có thể l Chỉ là một phần của trạng thái tiến trình l Một chương trình, nhiều tiến trình( bộ dữ liệu khác nhau) VD: gcc hello.c || gcc baitap.c l Gọi tới nhiều tiến trình Tiến trình >< chương trình"
ea73ad6304ed438f7e7d4c59ddd227a1:7,ea73ad6304ed438f7e7d4c59ddd227a1,7,8,,,102,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình Dịch và thực hiên một chương trình
ea73ad6304ed438f7e7d4c59ddd227a1:8,ea73ad6304ed438f7e7d4c59ddd227a1,8,9,,,781,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình l Hệ điều hành tạo một tiến trình và phân phối vùng nhớ cho nó l Bộ thực hiện (loader/exec) l Đọc và dịch (interprets) file thực thi (header file) l Thiết lập không gian địa chỉ cho tiến trình để chứa mã lệnh và dữ liệu từ file thực thi l Đặt các tham số dòng lệnh, biến môi trường (argc, argv, envp) vào stack l Thiết lập các thanh ghi của VXL tới các giá trị thích hợp và gọi hàm ""_start()"" (hàm của hệ điều hành) l Chương trình bắt đầu thực hiện tại ""_start()"". Hàm này gọi tới hàm main()(hàm của chương trình) ⇒""Tiến trình"" đang thực hiện, không còn đề cập đến ""chương trình"" nữa l Khi hàm main() kết thúc, OS gọi tới hàm ""_exit()"" để hủy bỏ tiến trình và thu hồi tài nguyên Dịch và thực hiên một chương trình"
ea73ad6304ed438f7e7d4c59ddd227a1:9,ea73ad6304ed438f7e7d4c59ddd227a1,9,10,,,549,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình Khi thực hiện, tiến trình thay đổi trạng thái l Khởi tạo (New) Tiến trình đang được khởi tạo l Sẵn sàng (Ready) Tiến trình đang đợi sử dụng processor vật lý l Thực hiện (Running) Các câu lệnh của tiến trình đang được thực hiện l Chờ đợi (Waiting) Tiến trình đang chờ đợi một sự kiện nào đó xuất hiện (sự hoàn thành thao tác vào/ra) l Kết thúc (Terminated) Tiến trình thực hiện xong Trạng thái của tiến trình là một phần trong hoạt động hiện tại của tiến trình Trạng thái tiến trình"
ea73ad6304ed438f7e7d4c59ddd227a1:10,ea73ad6304ed438f7e7d4c59ddd227a1,10,11,,,267,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình Lưu đồ thay đổi trạng thái tiến trình (Silberschatz 2002) Hệ thống có một processor l Có duy nhất một tiến trình ở trạng thái thực hiện l Có thể có nhiều tiến trình ở trạng thái chờ đợi hoặc sẵn sàng
ea73ad6304ed438f7e7d4c59ddd227a1:11,ea73ad6304ed438f7e7d4c59ddd227a1,11,12,,,488,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình Khối điều khiển tiến trình (PCB: Process Control Block) l Trạng thái tiến trình l Bộ đếm lệnh l Các thanh ghi của CPU l Thông tin dùng để điều phối tiến trình l Thông tin quản lý bộ nhớ l Thông tin tài nguyên có thể sử dụng l Thông tin thống kê l Con trỏ tới một PCB khác l . . . l Mỗi tiến trình được thể hiện trong hệ thống bởi một khối điều khiển tiến trình l PCB: cấu trúc thông tin cho phép xác định duy nhất một tt
ea73ad6304ed438f7e7d4c59ddd227a1:12,ea73ad6304ed438f7e7d4c59ddd227a1,12,13,,,88,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình Danh sách tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:13,ea73ad6304ed438f7e7d4c59ddd227a1,13,14,,,365,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Khái niệm tiến trình Tiến trình đơn luồng và tiến trình đa luồng l Tiến trình đơn luồng : Là chương trình thực hiện chỉ một luồng thực thi ⇒ Cho phép thực hiện chỉ một nhiệm vụ tại một thời điểm l Tiến trình đa luồng : Là tiến trình có nhiều luồng thực thi ⇒ Cho phép thực hiện nhiều hơn một nhiệm vụ tại một thời điểm
ea73ad6304ed438f7e7d4c59ddd227a1:14,ea73ad6304ed438f7e7d4c59ddd227a1,14,15,,,213,Chương 2 Quản lí tiến trình 1. Tiến trình 1.1. Điều phối tiến trình * Khái niệm tiến trình * Điều phối tiến trình (Process Scheduling) * Thao tác trên tiến trình * Hợp tác tiến trình * Truyền thông liên tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:15,ea73ad6304ed438f7e7d4c59ddd227a1,15,16,,,341,Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Giới thiệu Mục đích Sử dụng tối đa thời gian của CPU ⇒ Cần có nhiều tiến trình trong hệ thống Vấn đề Luân chuyển CPU giữa các tiến trình ⇒ Phải có hàng đợi cho các tiến trình Hệ thống một processor ⇒ Một tiến trình thực hiện ⇒ Các tiến trình khác phải đợi tới khi CPU tự do
ea73ad6304ed438f7e7d4c59ddd227a1:16,ea73ad6304ed438f7e7d4c59ddd227a1,16,17,,,390,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Các hàng đợi tiến trình I Hệ thống có nhiều hàng đợi dành cho tiến trình l Job-queue Tập các tiến trình trong hệ thống l Ready-Queue Tập các tiến trình tồn tại trong bộ nhớ, đang sẵn sàng và chờ đợi để được thực hiện l Device queues Tập các tiến trình đang chờ đợi một thiết bị vào ra. Phân biệt hàng đợi cho từng thiết bị"
ea73ad6304ed438f7e7d4c59ddd227a1:17,ea73ad6304ed438f7e7d4c59ddd227a1,17,18,,,247,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Các hàng đợi tiến trình II l Các tiến trình di chuyển giữa hàng đợi khác nhau l Tiến trình mới tạo, được đặt trong hàng đợi sẵn sàng, và đợi cho tới khi được lựa chọn để thực hiện"
ea73ad6304ed438f7e7d4c59ddd227a1:18,ea73ad6304ed438f7e7d4c59ddd227a1,18,19,,,633,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Các hàng đợi tiến trình III l Tiến trình đã được chọn và đang thực hiên ① Đưa ra một yêu cầu vào ra: đợi trong một hàng đợi thiết bị ② Tạo một tiến trình con và đợi tiến trình con kết thúc ③ Hết thời gian sử dụng CPU, phải quay lại hàng đợi sẵn sàng l Trường hợp (1&2) sau khi sự kiện chờ đợi hoàn thành, l Tiến trình sẽ chuyển từ trạng thái đợi sang trạng thái sẵn sàng l Tiến trình quay lại hàng đợi sẵn sàng l Tiến trình tiếp tục chu kỳ (sẵn sàng, thực hiện, chờ đợi) cho tới khi kết thúc l Xóa khỏi tất cả các hàng đợi l PCB và tài nguyên đã cấp được giải phóng"
ea73ad6304ed438f7e7d4c59ddd227a1:19,ea73ad6304ed438f7e7d4c59ddd227a1,19,20,,,244,Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Bộ điều phối (Scheduler) Lựa chọn tiến trình trong các hàng đợi l Điều phối công việc (Job scheduler; Long-term scheduler) l Điều phối CPU (CPU scheduler; Short-term scheduler)
ea73ad6304ed438f7e7d4c59ddd227a1:20,ea73ad6304ed438f7e7d4c59ddd227a1,20,21,,,711,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Điều phối công việc l Chọn các tiến trình từ hàng đợi tiến trình được lưu trong các vùng đệm (đĩa từ) và đưa vào bộ nhớ để thực hiện l Thực hiện không thường xuyên (đơn vị giây/phút) l Điều khiển mức độ đa chương trình (số t/trình trong bộ nhớ) l Khi mức độ đa chương trình ổn định, điều phối công việc được gọi chỉ khi có tiến trình rời khỏi hệ thống l Vấn đề lựa chọn công việc l Tiến trình thiên về vào/ra: sử dụng ít thời gian CPU l Tiến trình thiên về tính toán: sử dụng nhiều thời gian CPU l Cần lựa chọn lẫn cả 2 loại tiến trình ⇒ tt vào ra: hàng đợi sẵn sàng rỗng, lãng phí CPU ⇒ tt tính toán: hàng đợi thiết bị rỗng, lãng phí thiết bị"
ea73ad6304ed438f7e7d4c59ddd227a1:21,ea73ad6304ed438f7e7d4c59ddd227a1,21,22,,,668,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Điều phối CPU l Lựa chọn một tiến trình từ hàng đợi các tiến trình đang sẵn sàng thực hiện và phân phối CPU cho nó l Được thực hiện thường xuyên (VD: 100ms/lần) l Tiến trình thực hiện vài ms rồi thực hiện vào ra l Lựa chọn tiến trình mới, đang sẵn sàng l Phải thực hiện nhanh l 10ms để quyết định ⇒10/(110)=9% thời gian CPU lãng phí l Vấn đề luân chuyển CPU từ tiến trình này tới tiến trình khác l Phải lưu trạng thái của tiến trình cũ (PCB) và khôi phục trạng thái cho tiến trình mới l Thời gian luân chuyển là lãng phí l Có thể được hỗ trợ bởi phần cứng l Vấn đề lựa chọn tiến trình (điều phối CPU)"
ea73ad6304ed438f7e7d4c59ddd227a1:22,ea73ad6304ed438f7e7d4c59ddd227a1,22,23,,,331,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Hoán chuyển tiến trình (Medium-term scheduler) l Nhiệm vụ l Đưa t/trình ra khỏi bộ nhớ (làm giảm mức độ đa chương trình) l Sau đó đưa tiến trình quay trở lại (có thể ở vị trí khác) và tiếp tục thực hiện l Mục đích: Giải phóng vùng nhớ, tạo vùng nhớ tự do rộng hơn"
ea73ad6304ed438f7e7d4c59ddd227a1:23,ea73ad6304ed438f7e7d4c59ddd227a1,23,24,,,359,Chương 2 Quản lí tiến trình 1. Tiến trình 1.2. Điều phối tiến trình Chuyển ngữ cảnh (context switch) l Chuyển CPU từ tiến trình này sang tiến trình khác (hoán đổi tiến trình thực hiện) l Thực hiện khi xuất hiện tín hiệu ngắt (ngắt thời gian) hoặc tiến trình đưa ra lời gọi hệ thống (thực hiện và ra) l Lưu đồ của chuyển CPU giữa các t/trình(Silberschatz 2002)
ea73ad6304ed438f7e7d4c59ddd227a1:24,ea73ad6304ed438f7e7d4c59ddd227a1,24,25,,,217,Chương 2 Quản lí tiến trình 1. Tiến trình 1.3. Thao tác trên tiến trình * Khái niệm tiến trình * Điều phối tiến trình (Process Scheduling) * Thao tác trên tiến trình * Hợp tác tiến trình * Truyền thông liên tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:25,ea73ad6304ed438f7e7d4c59ddd227a1,25,26,,,135,Chương 2 Quản lí tiến trình 1. Tiến trình 1.3. Thao tác trên tiến trình l Tạo tiến trình l Kết thúc tiến trình Thao tác trên tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:26,ea73ad6304ed438f7e7d4c59ddd227a1,26,27,,,675,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.3. Thao tác trên tiến trình l Tiến trình có thể tạo nhiều tiến trình mới cùng hoạt động (CreateProcess(), fork()) l Tiến trình tạo: tiến trình cha l Tiến trình được tạo: tiến trình con l Tiến trình con có thể tạo tiến trình con khác ⇒Cây tiến trình l Vấn đề phân phối tài nguyên l Tiến trình con lấy tài nguyên từ hệ điều hành l Tiến trình con lấy tài nguyên từ tiến trình cha l Tất cả các tài nguyên l Một phần tài nguyên của tiến trình cha (ngăn ngừa việc tạo quá nhiều tiến trình con) l Vấn đề thực hiện l Tiến trình cha tiếp tục thực hiện đồng thời với tiến trình con l Tiến trình cha đợi tiến trình con kết thúc Tạo tiến trình"
ea73ad6304ed438f7e7d4c59ddd227a1:27,ea73ad6304ed438f7e7d4c59ddd227a1,27,28,,,780,Chương 2 Quản lí tiến trình 1. Tiến trình 1.3. Thao tác trên tiến trình l Hoàn thành câu lệnh cuối và yêu cầu HĐH xóa nó (exit) l Gửi trả dữ liệu tới tiến trình cha l Các tài nguyên đã cung cấp được trả lại hệ thống l Tiến trình cha có thể kết thúc sự thực hiện của tiến trình con l Tiến trình cha phải biết định danh tiến trình con ⇒ tiến trình con phải gửi định danh cho tiến trình cha khi được khởi tạo l Sử dụng lời gọi hệ thống (abort) l Tiến trình cha kết thúc tiến trình con khi l Tiến trình con sử dụng vượt quá mức tài nguyên được cấp l Nhiệm vụ cung cấp cho tiến trình con không còn cần thiết nữa l Tiến trình cha kết thúc và hệ điều hành không cho phép tiến trình con tồn tại khi tiến trình cha kết thúc ⇒Cascading termination. VD: kết thúc hệ thống Kết thúc tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:28,ea73ad6304ed438f7e7d4c59ddd227a1,28,29,,,836,"Chương 2 Quản lí tiến trình 1. Tiến trình 1.3. Thao tác trên tiến trình l CreateProcess(. . .) l LPCTSTR Tên của chương trình được thực hiện l LPTSTR Tham số dòng lệnh l LPSECURITY_ATTRIBUTES Thuộc tính an ninh t/trình l LPSECURITY_ATTRIBUTES Thuộc tính an ninh luồng l BOOL Cho phép kế thừa các thẻ thiết bị (TRUE/FALSE) l DWORD Cờ tạo tiến trình (VD CREATE_NEW_CONSOLE) l LPVOID Trỏ tới khối môi trường l LPCTSTR Đường dẫn đầy đủ đến chương trình l LPSTARTUPINFO Cấu trúc thông tin cho tiến trình mới l LPPROCESS_INFORMATION Thông tin về tiến trình mới l TerminateProcess(HANDLE hProcess, UINT uExitCode) l hProcess Thẻ tiến trình bị kết thúc đóng l uExitCode Mã kết thúc tiến trình l WaitForSingleObject(HANDLE hHandle, DWORD dwMs) l hHandle Thẻ đối tượng l dwMs Thời gian chờ đợi (INFINITE) Một số hàm với tiến trình trong WIN32 API"
ea73ad6304ed438f7e7d4c59ddd227a1:29,ea73ad6304ed438f7e7d4c59ddd227a1,29,30,,,211,Chương 2 Quản lí tiến trình 1. Tiến trình 1.4. Hợp tác tiến trình * Khái niệm tiến trình * Điều phối tiến trình (Process Scheduling) * Thao tác trên tiến trình * Hợp tác tiến trình * Truyền thông liên tiến trình
ea73ad6304ed438f7e7d4c59ddd227a1:30,ea73ad6304ed438f7e7d4c59ddd227a1,30,31,,,211,Chương 2 Quản lí tiến trình 1. Tiến trình 1.4. Hợp tác tiến trình * Khái niệm tiến trình * Điều phối tiến trình (Process Scheduling) * Thao tác trên tiến trình * Hợp tác tiến trình * Truyền thông liên tiến trình
